"group","VPNr","Alter","Geschlecht","Haendigkeit","Sehschwaeche","Farbfehlsichtigkeit","Hoerschwaeche","Fuehrerschein","Fahrtfrequenz","Fahrtstrecke","FrequenzAutobahn","StreckeAutobahn","KenntnisAS.CC.","KenntnisAS.ACC.","KenntnisAS.Spurhalte.","KenntnisAS.Stauassistent.","KenntnisAS.ParkAssist.","KenntnisAS.Teilautomation.","DSQ_Speed","DSQ_Calmness","DSQ_SocialResistance","DSQ_Focus","DSQ_Planning","DSQ_Deviance","ATIS","TempomatAutomarke.KeinSystem.","TempomatAutomarke.VW.","TempomatAutomarke.Opel.","TempomatAutomarke.Mercedes.","TempomatAutomarke.Ford.","TempomatAutomarke.BMW.","TempomatAutomarke.Audi.","TempomatAutomarke.Skoda.","TempomatAutomarke.Renault.","TempomatAutomarke.Toyota.","TempomatAutomarke.Seat.","TempomatAutomarke.Hyundai.","TempomatAutomarke.Fiat.","TempomatAutomarke.Nissan.","TempomatAutomarke.Peugeot.","TempomatAutomarke.Mazda.","TempomatAutomarke.Kia.","TempomatAutomarke.Dacia.","TempomatAutomarke.Citroen.","TempomatAutomarke.Volvo.","TempomatAutomarke.Mitsubishi.","TempomatAutomarke.Tesla.","TempomatAutomarke.other.","ACCAutomarke.KeinSystem.","ACCAutomarke.VW.","ACCAutomarke.Opel.","ACCAutomarke.Mercedes.","ACCAutomarke.Ford.","ACCAutomarke.BMW.","ACCAutomarke.Audi.","ACCAutomarke.Skoda.","ACCAutomarke.Renault.","ACCAutomarke.Toyota.","ACCAutomarke.Seat.","ACCAutomarke.Hyundai.","ACCAutomarke.Fiat.","ACCAutomarke.Nissan.","ACCAutomarke.Peugeot.","ACCAutomarke.Mazda.","ACCAutomarke.Kia.","ACCAutomarke.Dacia.","ACCAutomarke.Citroen.","ACCAutomarke.Volvo.","ACCAutomarke.Mitsubishi.","ACCAutomarke.Tesla.","ACCAutomarke.other.","SpurhalteAutomarke.KeinSystem.","SpurhalteAutomarke.VW.","SpurhalteAutomarke.Opel.","SpurhalteAutomarke.Mercedes.","SpurhalteAutomarke.Ford.","SpurhalteAutomarke.BMW.","SpurhalteAutomarke.Audi.","SpurhalteAutomarke.Skoda.","SpurhalteAutomarke.Renault.","SpurhalteAutomarke.Toyota.","SpurhalteAutomarke.Seat.","SpurhalteAutomarke.Hyundai.","SpurhalteAutomarke.Fiat.","SpurhalteAutomarke.Nissan.","SpurhalteAutomarke.Peugeot.","SpurhalteAutomarke.Mazda.","SpurhalteAutomarke.Kia.","SpurhalteAutomarke.Dacia.","SpurhalteAutomarke.Citroen.","SpurhalteAutomarke.Volvo.","SpurhalteAutomarke.Mitsubishi.","SpurhalteAutomarke.Tesla.","SpurhalteAutomarke.other.","StauassAutomarke.KeinSystem.","StauassAutomarke.VW.","StauassAutomarke.Opel.","StauassAutomarke.Mercedes.","StauassAutomarke.Ford.","StauassAutomarke.BMW.","StauassAutomarke.Audi.","StauassAutomarke.Skoda.","StauassAutomarke.Renault.","StauassAutomarke.Toyota.","StauassAutomarke.Seat.","StauassAutomarke.Hyundai.","StauassAutomarke.Fiat.","StauassAutomarke.Nissan.","StauassAutomarke.Peugeot.","StauassAutomarke.Mazda.","StauassAutomarke.Kia.","StauassAutomarke.Dacia.","StauassAutomarke.Citroen.","StauassAutomarke.Volvo.","StauassAutomarke.Mitsubishi.","StauassAutomarke.Tesla.","StauassAutomarke.other.","ParkAssistAutomarke.KeinSystem.","ParkAssistAutomarke.VW.","ParkAssistAutomarke.Opel.","ParkAssistAutomarke.Mercedes.","ParkAssistAutomarke.Ford.","ParkAssistAutomarke.BMW.","ParkAssistAutomarke.Audi.","ParkAssistAutomarke.Skoda.","ParkAssistAutomarke.Renault.","ParkAssistAutomarke.Toyota.","ParkAssistAutomarke.Seat.","ParkAssistAutomarke.Hyundai.","ParkAssistAutomarke.Fiat.","ParkAssistAutomarke.Nissan.","ParkAssistAutomarke.Peugeot.","ParkAssistAutomarke.Mazda.","ParkAssistAutomarke.Kia.","ParkAssistAutomarke.Dacia.","ParkAssistAutomarke.Citroen.","ParkAssistAutomarke.Volvo.","ParkAssistAutomarke.Mitsubishi.","ParkAssistAutomarke.Tesla.","ParkAssistAutomarke.other.","AutomationAutomarke.KeinSystem.","AutomationAutomarke.VW.","AutomationAutomarke.Opel.","AutomationAutomarke.Mercedes.","AutomationAutomarke.Ford.","AutomationAutomarke.BMW.","AutomationAutomarke.Audi.","AutomationAutomarke.Skoda.","AutomationAutomarke.Renault.","AutomationAutomarke.Toyota.","AutomationAutomarke.Seat.","AutomationAutomarke.Hyundai.","AutomationAutomarke.Fiat.","AutomationAutomarke.Nissan.","AutomationAutomarke.Peugeot.","AutomationAutomarke.Mazda.","AutomationAutomarke.Kia.","AutomationAutomarke.Dacia.","AutomationAutomarke.Citroen.","AutomationAutomarke.Volvo.","AutomationAutomarke.Mitsubishi.","AutomationAutomarke.Tesla.","AutomationAutomarke.other.","Fahrstil.DSQ1.","Fahrstil.DSQ2.","Fahrstil.DSQ3.","Fahrstil.DSQ4.","Fahrstil.DSQ5.","Fahrstil.DSQ6.","Fahrstil.DSQ7.","Fahrstil.DSQ8.","Fahrstil.DSQ9.","Fahrstil.DSQ10.","Fahrstil.DSQ11.","Fahrstil.DSQ12.","Fahrstil.DSQ13.","Fahrstil.DSQ14.","Fahrstil.DSQ15.","Technikaffinitaet.ATIS1.","Technikaffinitaet.ATIS2.","Technikaffinitaet.ATIS3.","Technikaffinitaet.ATIS4.","Technikaffinitaet.ATIS5.","Technikaffinitaet.ATIS6.","Technikaffinitaet.ATIS7.","Technikaffinitaet.ATIS8.","Technikaffinitaet.ATIS9."
"L0",1,25,0,0,1,0,0,2015,2,1,1,1,3,2,2,2,1,2,11,14,10,15,11,6,3.888888888888889,"","Y","","Y","","Y","","","","","","","","","","","",NA,"","","","","","","","","","","Y","","","","","","","","","","","",NA,"","","","","","","","","","","Y","","","","","","","","","","","",NA,"","","","","","","","","","","Y","","","","","","","","","","","",NA,"","","","","","Y","","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","Y","","","","","","","","","","","",NA,"","","","","",3,5,3,2,5,3,2,5,5,5,5,1,5,4,2,4,4,5,4,3,4,4,3,4
"L2 H-off",3,23,0,0,0,0,0,2017,2,1,2,1,2,2,2,2,2,2,8,14,8,15,5,5,4,"","Y","","Y","","","","","","","","","","","","","",NA,"","","","","","","Y","","","","","","","","","","","","","","","",NA,"","","","","","","Y","","","","","","","","","","","","","","","",NA,"","","","","","Y","","","","","","","","","","","","","","","","",NA,"","","","","","","Y","","Y","","","Y","","Y","","","","","","","","",NA,"","","","","","","Y","","","","","","","","","","","","","","","",NA,"","","","","",3,3,2,2,4,2,2,3,5,6,4,4,2,4,1,3,4,6,5,3,4,4,3,4
"L0",4,24,0,0,1,0,0,2016,2,1,2,1,3,1,2,0,0,0,4,13,5,16,7,7,4.222222222222222,"","Y","","","","","","","","","","","","","","","",NA,"","","","","","","Y","","","","","","","","","","","","","","","",NA,"","","","","","","Y","","","","","","","","","","","","","","","",NA,"","","","","Citroën","Y","","","","","","","","","","","","","","","","",NA,"","","","","","Y","","","","","","","","","","","","","","","","",NA,"","","","","","Y","","","","","","","","","","","","","","","","",NA,"","","","","",2,1,1,3,5,3,4,2,6,6,4,4,4,5,2,4,5,3,4,5,4,5,4,4
"L2 H-on",5,25,0,0,1,0,0,2013,2,2,2,2,2,1,2,1,1,1,4,14,7,15,4,4,4.111111111111111,"","","Y","","","","","","","","","","","","","","",NA,"","","","","","Y","","","","","","","","","","","","","","","","",NA,"","","","","","","","Y","","","","","","","","","","","","","","",NA,"","","","","","Y","","","","","","","","","","","","","","","","",NA,"","","","","","Y","","","","","","","","","","","","","","","","",NA,"","","","","","Y","","","","","","","","","","","","","","","","",NA,"","","","","",2,1,1,3,5,2,3,3,5,5,5,4,1,3,1,4,4,5,4,4,4,4,4,4
"L2 H-off",6,24,0,0,1,0,0,2015,3,2,3,2,2,2,2,1,1,1,7,13,9,14,9,7,4.777777777777778,"","","","","","","","","Y","","","","","","","","",NA,"","","","","","","","","","","Y","","","","","","","","","","","",NA,"","","","","","","","","","","Y","","","","","","","","","","","",NA,"","","","","","Y","","","","","","","","","","","","","","","","",NA,"","","","","","Y","","","","","","","","","","","","","","","","",NA,"","","","","","Y","","","","","","","","","","","","","","","","",NA,"","","","","",1,3,3,3,5,3,1,3,5,4,5,1,3,6,1,5,5,5,4,4,5,5,5,5
"L0",7,25,0,0,1,0,0,2015,3,2,2,1,3,1,1,1,1,1,10,15,10,15,6,3,5.555555555555555,"","Y","","","","","","","","","","","","","","","",NA,"","","","","","Y","","","","","","","","","","","","","","","","",NA,"","","","","","Y","","","","","","","","","","","","","","","","",NA,"","","","","","Y","","","","","","","","","","","","","","","","",NA,"","","","","","Y","","","","","","","","","","","","","","","","",NA,"","","","","","Y","","","","","","","","","","","","","","","","",NA,"","","","","",3,3,4,3,5,1,2,5,5,4,6,3,2,2,1,6,6,6,5,6,5,5,5,6
"L2 H-on",8,27,0,0,1,0,0,2013,3,2,3,2,2,2,2,2,1,2,16,14,12,14,3,8,5.555555555555555,"","Y","","Y","","Y","","","","","","","","","","","",NA,"","","","","Porsche","","Y","","Y","","Y","","","","","","","","","","","",NA,"","","","","Porsche","","Y","","Y","","Y","","","","","","","","","","","",NA,"","","","","Porsche","","","","","","","","","","","","","","","","","",NA,"","","","","Porsche","Y","","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","Porsche",6,6,4,2,4,2,1,6,5,5,4,5,1,6,2,6,6,6,6,5,6,5,5,5
"L2 H-off",9,24,1,0,0,0,0,2015,2,1,2,1,3,3,2,2,1,2,8,16,4,16,5,7,4.444444444444445,"","","","","","Y","","","","","","","","","","","",NA,"","","","","","","","","","","Y","","","","","","","","","","","",NA,"","","","","","","","","","","Y","","","","","","","","","","","",NA,"","","","","","","","","","","Y","","","","","","","","","","","",NA,"","","","","","","","","","","Y","","","","","","","","","","","",NA,"","","","","","","","","","","Y","","","","","","","","","","","",NA,"","","","","",1,5,2,1,5,2,5,2,5,5,6,4,2,6,1,4,5,5,4,4,5,4,5,4
"L0",10,21,0,0,2,0,0,2017,2,3,2,2,3,1,3,2,1,1,6,11,6,17,6,5,4.333333333333333,"","","","","","","Y","","","","","","","","","","",NA,"","","","","","","","","","","","Y","","","","","","","","","","",NA,"","","","","","","","","","","","Y","","","","","","","","","","",NA,"","","","","","","","","","","","Y","","","","","","","","","","",NA,"","","","","","","Y","","","","","Y","","","","","","","","","","",NA,"","","","","","Y","","","","","","","","","","","","","","","","",NA,"","","","","",2,3,1,1,1,3,4,3,6,5,6,4,3,4,1,3,6,6,1,5,4,5,3,6
"L2 H-on",11,24,1,0,0,0,0,2015,2,1,1,1,2,1,1,1,1,1,10,11,11,13,10,5,4.888888888888889,"","Y","","Y","","","","","","","","","","","","","",NA,"","","","","","","","","","","Y","Y","","","","","","","","","","",NA,"","","","Y","","","","","","","Y","Y","","","","","","","","","","",NA,"","","","Y","","","","","","","Y","Y","","","","","","","","","","",NA,"","","","Y","","","","","","","Y","Y","","","","","","","","","","",NA,"","","","Y","","","","","","","","","","","","","","","","","","",NA,"","","","Y","",3,3,4,3,4,4,1,5,4,4,5,1,4,4,1,5,5,5,5,4,5,5,5,5
