"id","submitdate","lastpage","startlanguage","seed","startdate","datestamp","VPNummer","Fahrt[Manuell]","Fahrt[HandsOn]","Fahrt[HandsOff]","Probandencode[Vorname]","Probandencode[StrasseWohnort]","Probandencode[TagGeburtstag]","VertrauenNachbefragu[Einschaetzen]","VertrauenNachbefragu[ZustandSystem]","VertrauenNachbefragu[KenneSysteme]","VertrauenNachbefragu[Vetrauenswuerdig]","VertrauenNachbefragu[Unbekanntvorsichtig]","VertrauenNachbefragu[Zuverlaessig]","VertrauenNachbefragu[Unvorhersehbar]","VertrauenNachbefragu[Wohlergehen]","VertrauenNachbefragu[Vertrauen]","VertrauenNachbefragu[Ausfall]","VertrauenNachbefragu[Nachvollziehen]","VertrauenNachbefragu[Systemvertrauen]","VertrauenNachbefragu[komplizierteAufgaben]","VertrauenNachbefragu[VerlassSystem]","VertrauenNachbefragu[FehlerSystem]","VertrauenNachbefragu[VorhersageSystem]","VertrauenNachbefragu[NutzungSystem]","VertrauenNachbefragu[AutomatisierteSystem]","VertrauenNachbefragu[UeberzeugungSystem]","Akzeptanz[NuetzlichFahren]","Akzeptanz[Fahrleistung]","Akzeptanz[ZielSicher]","Akzeptanz[InteraktionSystem]","Akzeptanz[LeichtesUmgang]","Akzeptanz[EinfacheBedienung]","Akzeptanz[ErlernenBedienung]","Akzeptanz[GuteIdee]","Akzeptanz[InteressanterFahren]","Akzeptanz[SpassSystem]","Akzeptanz[MagInteraktionSystem]","Akzeptanz[SicheresFahrverhalte]","Akzeptanz[NoetigeWissen]","Akzeptanz[KompatibelSystem]","Akzeptanz[BeabsichtigungNutzun]","Akzeptanz[NutzungSystem]","Akzeptanz[NutzungMonate]","Akzeptanz[GefaehrlichSystem]","Akzeptanz[ErhoehteAufmerksamke]","Akzeptanz[AblenkenVerkehr]","Akzeptanz[Sicherfuehlen]","Akzeptanz[VerringerungUnfall]","Akzeptanz[Nichthinschauen]","Systemverstaendnis[EineHandamSteuer]","Systemverstaendnis[Uebersteuern]","Systemverstaendnis[StetsUeberwachen]","Systemverstaendnis[SystemFahrsicherheit]","Systemverstaendnis[FahrfremdeTaetigkeit]","Systemverstaendnis[Bewusstaktivieren]","Systemverstaendnis[GeschwVorfahrzeug]","Systemverstaendnis[AusgleichenFahruntau]","Systemverstaendnis[AnderePersonFahraufg]","Systemverstaendnis[KeineanderenFahrzeug]","Systemverstaendnis[Systemgrenze]","Systemverstaendnis[Lenktautomatisch]","Systemverstaendnis[UebernahmeFahrsituat]","Systemverstaendnis[WachbleibenAutomatio]","Systemverstaendnis[NiemlasUnaufgeforder]","Systemverstaendnis[Schlagloecher]","Systemverstaendnis[MindestabstandVoraus]","Systemverstaendnis[EingestellteGeschwin]","Systemverstaendnis[FahrstreifenwechselF]","SystemeigenesFahrzeu[Nachrichtenlesen]","SystemeigenesFahrzeu[HandTelefonieren]","SystemeigenesFahrzeu[FestFreisprechanlage]","SystemeigenesFahrzeu[EinstellenKlimaanlag]","SystemeigenesFahrzeu[Essen]","SystemeigenesFahrzeu[MakeUp]","SystemeigenesFahrzeu[InteraktionBeifahrer]","SystemeigenesFahrzeu[SuchenTasche]","OptionalNDRT[Nie]","OptionalNDRT[Sehrs]","OptionalNDRT[Selten]","OptionalNDRT[Geleg]","OptionalNDRT[Oft]","OptionalNDRT[SeOft]","PrivatesFahrzeug[NachrichtenHandy]","PrivatesFahrzeug[TelefonierenHandy]","PrivatesFahrzeug[Freisprechanlage]","PrivatesFahrzeug[Infotainment]","PrivatesFahrzeug[Essen]","PrivatesFahrzeug[MakeUp]","PrivatesFahrzeug[Beifahrer]","PrivatesFahrzeug[ObjekteSuchen]","OptionalNDRTManuell[Nie]","OptionalNDRTManuell[SehrSelten]","OptionalNDRTManuell[Selten]","OptionalNDRTManuell[Gelegentlich]","OptionalNDRTManuell[Oft]","OptionalNDRTManuell[SehrOft]","Warnmeldungen[Warnungenzuhaeufig]","Warnmeldungen[SichermitWarnsystem]","Warnmeldungen[FahrfremdeohneWarnun]","Warnmeldungen[Laestig]","ReaktionaufWarnung[WarumertoentWarnung]","ReaktionaufWarnung[RichtigeReaktion]","ReaktionaufWarnung[BewusstIgnoriert]","ReaktionaufWarnung[AufmerksamkeitaufFah]","OptionalAnmerkungenW","UeberwachungHOffon[UeberwachungSystem]","UeberwachungManuell[AufmerksamManuell]","AnderesVerhalten","OptionalAnderesVerha","KommentareStudie","KommentareFahrt","KommentareFahrtManue"
"5","2022-07-11 10:41:31","9","de","1633506227","2022-07-11 08:54:02","2022-07-11 10:41:31","1","Y","","","TE","LI","29","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SehrS","SehrS","Geleg","Nie","Selte","SehrS","Geleg","Geleg","","","","","","","","","","","","","","","","","2","Ja","weniger Interaktion mit dem Tablet. Tablet/Handy würde nur in Ausnahmen benutzt werden. Fahrfremde Tätigkeiten eher: Essen, Trinken, telefonieren (ueber Freisprecheinrichtung)","","",""
"6","","1","de","788515259","2022-07-11 12:02:43","2022-07-11 12:02:50","2","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7","2022-07-11 12:43:38","9","de","1825455019","2022-07-11 12:27:54","2022-07-11 12:43:38","2","","Y","","KE","PA","03","Weder","Eherz","Vollz","Vollz","Vollz","Eherz","Ehern","Vollz","Weder","Weder","Eherz","Weder","Ehern","Weder","Eherz","Eherz","Vollz","Weder","Eherz","Voll1","Nich1","Voll1","Voll2","Voll0","Voll0","Voll0","Nich2","Nich1","Neutr","Voll2","Nich1","Voll0","Nich2","Neutr","Voll2","Voll2","Voll2","Voll2","Nich2","Nich2","Nich2","Nich0","Zutre","Zutre","Zutre","Nzutr","Nzutr","Zutre","Zutre","Nzutr","Nzutr","Nzutr","Nzutr","Zutre","Zutre","Zutre","Nzutr","Zutre","Zutre","Zutre","Nzutr","Selte","Sehrs","Oft","SeOft","Gele","Nie","Gele","Sehrs","","","","","","","","","","","","","","","","","","","","","Nich1","Voll0","Nich2","Nich0","Immer","Imme2","Nie0","Immer","","AO03","","Nein","","Wahrscheinlich fahrfremde Tätigkeiten ausgeführt, jedoch nicht in dem Umfang wie mit dem Tablet ","",""
"8","2022-07-11 15:09:13","9","de","1108590122","2022-07-11 14:47:38","2022-07-11 15:09:13","3","","","Y","EA","PR","03.03","Vollz","Vollz","Vollz","Vollz","Vollz","Vollz","Garni","Vollz","Vollz","Garni","Vollz","Eherz","Weder","Eherz","Ehern","Garni","Vollz","Weder","Vollz","Voll0","Voll0","Voll0","Voll0","Voll0","Voll0","Voll0","Voll0","Neutr","Voll0","Voll1","Voll0","Voll0","Voll0","Voll0","Voll0","Voll0","Nich2","Voll0","Nich1","Voll0","Voll0","Nich2","Nzutr","Zutre","Zutre","Nzutr","Unsic","Zutre","Zutre","Nzutr","Nzutr","Nzutr","Nzutr","Nzutr","Zutre","Zutre","Nzutr","Zutre","Unsic","Nzutr","Nzutr","Selte","Gele","Gele","Gele","Oft","Nie","Oft","Nie","","","","","","","","","","","","","","","","","","","","","Voll2","Voll0","Voll0","Nich2","Imme1","Immer","Nie1","Immer","","AO05","","Nein","","Sehr gut gemacht :)","Es war eine Challenge die Fragen zu lesen und gleichzeitig den Verkehr zu beachten, aber das war auch interessant.",""
"9","2022-07-11 17:01:41","9","de","380053803","2022-07-11 16:57:50","2022-07-11 17:01:41","4","Y","","","ON","RU","25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Nie","Nie","SehrS","Geleg","Selte","Nie","Geleg","Selte","","","","","","","","","","","","","","","","","1","Ja","- weniger Interaktion mit Tablet
- mehr Fokus auf Verkehr ","","","- recht lange Fahrt im Manuellen Betrieb
- aufgrund Schlafmangel heute recht müde gewesen, evtl auch weniger Aufmerksamkeit deswegen"
"10","2022-07-12 10:50:39","9","de","765748547","2022-07-12 10:34:27","2022-07-12 10:50:39","6","","","Y","SE","MA","02","Eherz","Vollz","Eherz","Eherz","Vollz","Eherz","Ehern","Weder","Eherz","Eherz","Ehern","Vollz","Ehern","Eherz","Vollz","Vollz","Eherz","Eherz","Eherz","Voll0","Nich1","Neutr","Voll2","Voll1","Voll0","Voll0","Voll0","Voll2","Voll1","Voll1","Nich2","Voll0","Voll0","Voll0","Voll0","Voll0","Voll2","Neutr","Voll2","Voll2","Nich2","Voll2","Nzutr","Zutre","Zutre","Nzutr","Nzutr","Zutre","Zutre","Nzutr","Nzutr","Nzutr","Nzutr","Zutre","Zutre","Zutre","Nzutr","Zutre","Zutre","Nzutr","Nzutr","Oft","Oft","SeOft","SeOft","SeOft","Nie","Oft","Selte","","","","","","","","","","","","","","","","","","","","","Nich1","Voll0","Voll0","Nich1","Nie2","Immer","Nie0","Imme2","","AO02","","Ja","Ich hätte nicht solch lange Texte wie in der Tätigkeit gelesen. Diese lenken dann zu sehr ab. Kürzere WhatsApps eher","","",""
"11","2022-07-12 12:49:59","9","de","1042612917","2022-07-12 12:02:42","2022-07-12 12:49:59","7","Y","","","EA","WI","24","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SehrS","Oft","Nie","Geleg","Selte","Nie","Selte","SehrS","","","","","","","","","","","","","","","","","1","Ja","ich hätte nicht diesen Text aufmerksam durchlesen können, um Fragen zu beantworten. Der Augenkontakt lag zu lange auf dem Tablett","","","sehr gefährlich im echten Straßenverkehr"
"12","2022-07-12 14:49:03","9","de","1877015490","2022-07-12 14:32:53","2022-07-12 14:49:03","8","","Y","","Ke","Kl","26","Eherz","Vollz","Vollz","Vollz","Eherz","Eherz","Garni","Vollz","Eherz","Garni","Vollz","Eherz","Eherz","Vollz","Eherz","Ehern","Vollz","Weder","Vollz","Voll0","Voll2","Neutr","Voll1","Voll0","Voll0","Voll0","Voll2","Nich0","Neutr","Voll2","Voll2","Voll0","Voll0","Voll0","Voll0","Voll0","Nich1","Nich1","Nich2","Voll0","Voll1","Voll0","Zutre","Zutre","Zutre","Nzutr","Nzutr","Zutre","Zutre","Nzutr","Nzutr","Nzutr","Unsic","Zutre","Zutre","Zutre","Nzutr","Unsic","Zutre","Zutre","Nzutr","Selte","Selte","SeOft","Oft","SeOft","Sehrs","SeOft","Oft","","","","Brille wechseln","","","","","","","","","","","","","","","","","Nich0","Voll0","Nich1","Nich0","Immer","Immer","Nie0","Immer","Die Warnmeldung zum stehenden Fahrzeug auf der Fahrspur war relativ kurzfristig, wenn man beachtet, dass ich eine Tätigkeit nebenbei hatte.","AO05","","Ja","Weniger auf die Tätigkeit konzentriert, dafür mehr auf das Fahrgeschehen","","",""
"13","2022-07-12 18:40:57","9","de","1947060571","2022-07-12 18:17:51","2022-07-12 18:40:56","9","","","Y","GA","PA","19","Eherz","Vollz","Eherz","Eherz","Eherz","Vollz","Ehern","Vollz","Weder","Ehern","Eherz","Vollz","Weder","Eherz","Eherz","Weder","Eherz","Eherz","Eherz","Voll0","Neutr","Voll2","Voll2","Voll1","Voll1","Voll1","Voll1","Nich0","Voll1","Voll2","Voll2","Voll2","Voll2","Voll1","Voll1","Voll2","Nich1","Voll0","Voll2","Voll2","Voll1","Neutr","Unsic","Zutre","Zutre","Nzutr","Nzutr","Zutre","Zutre","Zutre","Nzutr","Zutre","Nzutr","Zutre","Zutre","Zutre","Zutre","Zutre","Zutre","Zutre","Nzutr","Gele","Oft","Oft","Oft","Oft","Selte","Oft","Oft","","","","","","","","","","","","","","","","","","","","","Voll2","Voll0","Voll2","Nich2","Imme2","Immer","Nie1","Immer","Warnmeldung kommt auch wenn man länger in der Seitenspiegel links schaut","AO04","","Ja","weniger abgelenkt, mehr nach vorne geschaut","Gas geben, kein Feedback über wie stark man Gas gibt
Kein haptisches Feedback wenn man weisse Fahrbahnbegrenzungen überschreitet","",""
"14","2022-07-12 20:39:06","9","de","1430072642","2022-07-12 19:51:35","2022-07-12 20:39:06","10","Y","","","CA","IM","21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Selte","Geleg","SeOft","Selte","Geleg","Oft","Oft","Geleg","","","","","","","","","","","","","","","","","2","Nein","","-","","gefühlt starkes ablenkungspotential durch quiz"
