"id","submitdate","lastpage","startlanguage","seed","startdate","datestamp","VP","Fahrt[Manuell]","Fahrt[HandsOn]","Fahrt[HandsOff]","ManuellNotizProband","ManuellNotizFahrt","HOnNotizProband","HOnNotizFahrt","HOffNotizProband","HOffNotizFahrt","SonstigeAnmerkungen","FahrerInitierteTrans","SysteminitierteTrans","DMS","HMI","Geschwindigkeit","Systemverhalten","BewertungL2","L2PrivatesFahrzeug[ACC]","L2PrivatesFahrzeug[Spurhaltung]","L2PrivatesFahrzeug[Haendefrei]","AnmerkungenBewertung","KommentareL2","KommentareStudie"
"6","2022-07-11 10:48:05","3","de","1048873647","2022-07-11 08:54:15","2022-07-11 10:48:05","1","Y","","","","fährt häufig schneller als Geschwindigkeitslimits, Szenario 2 nicht erkannt, Szenario 1, 3, 5, 6, 7 erkannt, Baustelle: Notbremsung kurzzeitig ausgelöst, da noch nicht vollständig auf linker Fahrspur, kommt manchmal von der Fahrbahn ab, Pannenfahrzeug erkannt und nach links","","","","","","Baustelle recht früh erkannt, Priorisierung der Lenkaufgabe, Panne erst spät erkannt, vorallem durch Licht","","","Tempolimits erst ab Geschwindigkeitsschild","","","","","","","","","sehr sensibles Lenkrad, Bremse sehr schwergängig"
"7","2022-07-11 12:57:33","3","de","1612548087","2022-07-11 11:44:38","2022-07-11 12:57:33","2","","Y","","","","","Szenario 8 nicht erkannt, Notbremsung, nach rechts ausgewichen Szenario 6 kurz verwirrt, dann weiterbeschäftigung mit ndrt, hohe Konzentration auf Ndrt","","","","Am Anfang Automation sysmteseitig deaktiviert worden (evtl. Fehler), bei Szenario 6 100 km/h Schild erkannt, war dann kurz verwirrt, aber andere Autofahrer gleich schnell, Baustelle vorausgesehen, es war noch genug Zeit zum Reagieren, Szenario 8: durch Notbremsung relativ langsam Verkehr nicht behindern, deshalb nach rechts auf Standspur.","siehe oben, NDRT auch in der Baustelle beantwortet","immer Hand am Lenkrad, am Ende nur leicht angefasst (Wie hoch war Nm)","Navigation wäre noch gut, Drehzahlmesser, lautere Geräusche","siehe oben, kurze Verwirrung bei Szenario 6 ","zus. Überwachung über Kamerasystem, um Aufmerksamkeit auf die Straße zu richten","EherN","Ja","EherN","Manue","","","linke Spiegel passt nicht zur Umgebungsansicht"
"8","2022-07-11 15:17:32","3","de","1345919570","2022-07-11 14:14:36","2022-07-11 15:17:32","3","","","Y","","","","","nur kurze Blicke auf NDRT, Genervtheit, danach ""Lernmodus"", immer kurze Blicke zur Fahrbahn, um Warnmeldung zu deaktivieren. Szenario 2 nicht erkannt, ab min 20 m7 2000 kurze Phasen mit nur Aufmerksamkeit zum Fahrgeschehen, Müdigkeit, Szenario 4 erkannt, auf linke Spur gewechselt, kurze Aktivierung des Notbremsassistanten, Frust, Szenario 6 nicht erkannt, Ungeduld, Gegen Ende der Fahrt hauptsächlich Fahrbeobachtung, Szenario 8 nicht erkannt, Notbremsung bis Stillstand","vorbeifahrende Autos sehr laut, durch Kalibrierung teils rechte Windschutzscheibe als Tablet wahrgenommen","","abgelenkt bei Pannenfahrzeug, nicht realisiert, dass es Notbremsung war, gebremst zusätzlich, da Verkehr nicht im Blick","Baustelle erkannt, kurze Einblendung der Notbremsung bei Baustelle nicht realisiert, zu sehr auf das System verlassen","ab und zu nervig, aber wichtig, hat System verstanden","Schrift zu klein, auch bei Notbremsung, eher auf Ton reagiert (immer)","zu langsam beschleunigt, siehe oben (2,6 nicht erkannt)","zu weit rechts von der Fahrbahn durch Automation","Ja","Ja","Ja","Ja","","",""
"9","2022-07-11 17:09:19","3","de","1740778242","2022-07-11 16:08:33","2022-07-11 17:09:18","4","Y","","","fährt teilweise sehr viel langsamer als erlaubt, kommt sehr oft von Fahrbahn ab (nach rechts, teilweise auch links) auf Standstreifen und weiter, wenn mit NDRT beschäftigt, teilweise falsche Fahrbahn gefahren, kitisch für NDRT Anreiz, Szenario 3 erkannt, teilweise Fahrt auf Standspur, Szenario 4 erkannt, auf linke Seite gewechselt, ganz kurz Notbremsassistant aktiv,  teilweise nur 65-70 km/h auf der Autobahn, Notbremsung bei Pannenfahrzeug","","","","","","Autos fahren durch Baustelle, Proband musste diese überholen, bei Pannenfahrzeug fährt vorerfahrzeug in Pannenfahrzeug rein","Notbremsung sehr wichtig, alle 10-20 sec aufmerksamer geschaut, Baustelle dadurch erkannt, bei Kurven auf Standspur, einmal irritiert durch Fahrverhalten von hinterem Fahrzeug, Proband war müde (Müdigkeitserkennung bzw Spurhalteassistant), ","","","nicht mehr drauf geachtet, wann Geschwindigkeitsschild eingeblendet wurde, Totwinkelwarnungen wären praktisch","durch Langsamfahrt kein Handlung notwendig","","","","","","","","Fahrt war recht lange, anstrengend"
"10","2022-07-12 11:00:48","3","de","911167232","2022-07-12 09:52:30","2022-07-12 11:00:48","6","","","Y","","","","","abwechselnd NDRT und Blick aufs Fahrgeschehen, etwas angespannt, kurzer Blick von NDRT zur Straße vor der ersten Warnstufe, um diese zu verhindern, Szenario 2 erst spät erkannt, dann kurze manuelle Fahrt, Szenario 4 erkannt und vor Notbremsung nach links gewechselt, Müdigkeit, Langeweile, Szenario 6 erkannt, selbstständig gebremst, ab 120 km/h wieder Automation, Pannenfahrzeug erkannt, abgebremst und nach links gelenkt","","","Eine Hand trotzdem oft am Lenkrad, immer wieder auf die Straße geschaut, aber nur kurz","","Warnlimit zeitlich erkannt, Zeitlimit schon nervig, aber sehr sinnvoll, vorallem Alarmton und LenkradLED ausschlaggebend für Aufmerksamkeit","","bei erster fehlerhaften Geschwindigkeitssituation spät erkannt, manuell gebremst, bei zweiten Situation frühzeitig erkannt und selbst gebremst, Proband hat bei normaen Geschw. änderungen überwacht und hätte sonst selbst gebremst durch Vorkenntnisse davor","","Ja","Ja","Ja","Ja","Hat alle Situationen erkannt","teilweise geraten bei Tablet",""
"11","2022-07-12 12:56:47","3","de","1941502252","2022-07-12 12:02:44","2022-07-12 12:56:47","7","Y","","","schlechte Kalibrierung, nur kurze Blicke zum NDRT, Szenario 4 gut antizipiert und nach links gelenkt ohne Notbremsung, teilweise Schlangenlinien, Szenario 5 erkannt, ab etwa min 30 größtenteils Aufmerksamkeit auf Straße, Szenario 6, 7 erkannt, Szenario 8 nicht erkannt, Notbremsung, dann nach links gewechselt","","","","","","","Geschwindigkeitslimits alle erkannt und gehandelt, Baustelle sofort erkannt und auf linke Spur gewechselt, Proband hat Pannenfahrzeug nicht erkannt","","","generell wäre Navigation nicht schlecht gewesen, Streckeninformation wäre auch gut","alle erkannt","","","","","","","","anderes Geschwindigkeitsgefühl"
"12","2022-07-12 14:58:44","3","de","236282834","2022-07-12 13:49:03","2022-07-12 14:58:44","8","","Y","","","","Konzentration auf NDRT, schlechte Kalibrierung, Szenario 2 erkannt, manuelles Abbremsen auf 100km/h, ab 120 km/h Schild wieder Automation, angestrengt, Szenario 4 erkannt, nach links gezogen, sehr kurz Notbremsung aktiv, Proband hat Fahrzeuge, die ihn rechts in der Baustelle überholt haben, wieder überholt, Szenario 6 nicht erkannt, Szenario 8 nicht erkannt, Notbremsung, dann nach links gelenkt.","","","","Autos von links sind rechts in der Baustelle durchgefahren","Baustelle relativ früh erkannt, bei 200m links rüberziehen, Notbremsung sehr hilfreich, Proband hätte lieber angehalten nach rechts auf den Standstreifen, Warnung war zu kurz, wenn man eine Tätigkeit gemacht hätte","","paarmal, wenn Spurwechsel und Autos überholen und Automation aktiv, dann kurzzeitig Hände vom Lenkrad, ansonsten Hände nur am Lenkrad, damit Warnung nicht ausgelöst wird","LED Leuchten und Ton ausschlaggebend","Szenario 2 nicht erkannt, Fahrverhalten ansprechend","eigenständiger Spurwechsel wäre ideal, recht hohe Lenkeingriffe beim Aktivieren der Automation","EheJa","Ja","EheJa","Manue","Querführung im privaten Fahrzeug kommt auf ""Aggressivität"" der Lenkwiderstände","",""
"13","2022-07-12 18:53:42","3","de","433160829","2022-07-12 17:36:12","2022-07-12 18:53:42","9","","","Y","","","","","sehr taktisches Vorgehen, kurzer Blick zum Fahrgeschehen zwischen NDRT, Außenspiegel sollte auch zur Aufmerksamkeit zum Fahrgeschehen zählen (keine Warnmeldung dann), Hin und Herschauen, Routine, Warnmeldungen manchmal für Probandin missverständlich, da Sie nach vorne schaut (Übergang Windschutzscheibe/Kombidisplay) Szenario 4 erkannt, nach inks gewechselt ohne Auslösen der Notbremsung, Automations Button in Baustelle gedrückt, obwohl nicht verfügbar, nach Baustelle vermehrt Aufmerksamkeit auf Fahrgeschehen, Szenario 6 nicht erkannt, Szenario 8 spät erkannt, dann rüber gezogen auf links","","","Szenario 2 und 6 nicht erkannt, Baustelle frühzeitig erkannt, allgemein Lenken war nicht richtig einschätzbar, Probandin hat ihrer Aussage her, nicht den Automationsbutton in der Baustelle gedrückt, bei Pannenfahrzeug in Rückspiegel geschaut und dann nach links gewechselt bei Pannenfahrzeug","","war nervig, aber gut, manchmal zu ungenaue Warnmeldung","nicht auf HMI geachtet","sind nicht aufgefallen","automatischer Spurwechsel hat vor- und nachteile","EheJa","Ja","EheJa","EheJa","Querführung eher für Autobahn, alles in gewissen Maßen nutzen","",""
"14","2022-07-12 20:42:58","3","de","1846272754","2022-07-12 19:47:16","2022-07-12 20:42:58","10","Y","","","sehr viel Hin und Herschauen, fährt oft langsamer als erlaubt (bis zu 15 km/h weniger), Aufmerksamkeit meist auf Fahraufgabe, Szenario 2,  erkannt, Proband hat Quiz in der Mitte ausversehen gespeichert und dann neugestartet, Szenario 4 gut antizipiert und frühzeitig nach links gewechselt, fährt teilweise Schlangenlinien oder teils auf die linke Spur, Abwechslung zwischen Phasen voller Konzentration auf die Straße und abwechselndem Beschäftigen mit NDRT, Szenario 7 erkannt, Szenario 8 nicht erkannt, Notbremsung, dann links überholt","","","","","","","sehr abgelenkt durch Quiz, Spurhalteassistant wäre wichtig gewesen, abwechselnd Gas gegeben","","","Tempomat wäre gut","manchmal so langsam, dass 120 auf 100 nicht bemerkbar ist, Proband hat aber die 100 Geschwindigkeitslimits alle gesehen und über Display kontrolliert, fehlerhafte Geschwindigkeit einmal bemerkt, selber runtergebremst, dann Blick zum Display und wieder beschleunigt","","","","","","","",""
"15","2022-07-12 22:22:38","3","de","511054551","2022-07-12 21:23:01","2022-07-12 22:22:38","5","","Y","","","","meiste Konzentration auf NDRT, dazwischen kurze Blicke auf die Straße, Szenario 2 nicht erkannt, Szenario 4 erkannt, frühzeitig nach links gelenkt ohne Notbremsung, Anspannung, Szenario 6 nicht erkannt, Stirnrunzeln, Szenario 8 erkannt, gebremst und nach links","","","","","Bei Baustelle im Augenblick erkannt und dann übernommen, Pannenfahrzeug selbständig erkannt und früher als Notbremsung gebremst","","Hand war stets am Lenkrad ","alles klar","hat Proband nicht erkannt (fehlerhafte), man bekommt die Geschwindigkeitsreduzierungen nicht wirklich mit (fahrdynamisch) ","keine Vorkommnisse","Ja","Ja","Ja","Manue","","",""
