"group","variable","n","0","1","2","3","4","5","6"
"L0","NDRTs.NDRT1.",20,7,7,5,0,0,1,0
"L0","NDRTs.NDRT2.",20,5,10,1,2,1,1,0
"L0","NDRTs.NDRT3.",20,7,1,3,4,2,3,0
"L0","NDRTs.NDRT4.",20,2,2,2,6,7,1,0
"L0","NDRTs.NDRT5.",20,2,5,4,6,2,1,0
"L0","NDRTs.NDRT6.",20,14,4,1,0,1,0,0
"L0","NDRTs.NDRT7.",20,1,2,1,4,8,4,0
"L0","NDRTs.NDRT8.",20,1,7,6,5,0,1,0
"L0","SubjUeberwachguete.1.",20,1,6,6,3,2,1,1
"L0","SubjEinflussSetting",20,15,5,0,0,0,0,0
"L0","Warnmeldungen.Warnungenzuhaeufig.",0,0,0,0,0,0,0,0
"L0","Warnmeldungen.SichermitWarnsystem.",0,0,0,0,0,0,0,0
"L0","Warnmeldungen.FahrfremdeohneWarnun.",0,0,0,0,0,0,0,0
"L0","Warnmeldungen.Laestig.",0,0,0,0,0,0,0,0
"L0","ReaktionaufWarnung.WarumertoentWarnung.",0,0,0,0,0,0,0,0
"L0","ReaktionaufWarnung.RichtigeReaktion.",0,0,0,0,0,0,0,0
"L0","ReaktionaufWarnung.BewusstIgnoriert.",0,0,0,0,0,0,0,0
"L0","ReaktionaufWarnung.AufmerksamkeitaufFah.",0,0,0,0,0,0,0,0
"L0","L2PrivNutzung",0,0,0,0,0,0,0,0
"L0","L2Komponenten.Laengs.",0,0,0,0,0,0,0,0
"L0","L2Komponenten.Quer.",0,0,0,0,0,0,0,0
"L0","L2Komponenten.Hoff.",0,0,0,0,0,0,0,0
"L0","System_u_01",0,0,0,0,0,0,0,0
"L0","System_u_02",0,0,0,0,0,0,0,0
"L0","System_u_03",0,0,0,0,0,0,0,0
"L0","System_u_04",0,0,0,0,0,0,0,0
"L0","System_u_05",0,0,0,0,0,0,0,0
"L0","System_u_06",0,0,0,0,0,0,0,0
"L0","System_u_07",0,0,0,0,0,0,0,0
"L0","System_u_08",0,0,0,0,0,0,0,0
"L0","System_u_09",0,0,0,0,0,0,0,0
"L0","System_u_10",0,0,0,0,0,0,0,0
"L0","System_u_11",0,0,0,0,0,0,0,0
"L0","System_u_12",0,0,0,0,0,0,0,0
"L0","System_u_13",0,0,0,0,0,0,0,0
"L0","System_u_14",0,0,0,0,0,0,0,0
"L0","System_u_15",0,0,0,0,0,0,0,0
"L0","System_u_16",0,0,0,0,0,0,0,0
"L0","System_u_17",0,0,0,0,0,0,0,0
"L0","System_u_18",0,0,0,0,0,0,0,0
"L0","System_u_19",0,0,0,0,0,0,0,0
"L2 H-on","NDRTs.NDRT1.",20,5,6,4,4,0,1,0
"L2 H-on","NDRTs.NDRT2.",20,7,5,2,5,1,0,0
"L2 H-on","NDRTs.NDRT3.",20,3,1,1,2,9,4,0
"L2 H-on","NDRTs.NDRT4.",20,1,1,0,9,5,4,0
"L2 H-on","NDRTs.NDRT5.",20,4,0,1,6,5,4,0
"L2 H-on","NDRTs.NDRT6.",20,12,5,0,1,0,2,0
"L2 H-on","NDRTs.NDRT7.",20,0,1,4,5,5,5,0
"L2 H-on","NDRTs.NDRT8.",20,4,5,6,2,2,1,0
"L2 H-on","SubjUeberwachguete.1.",20,1,4,5,4,3,2,1
"L2 H-on","SubjEinflussSetting",20,12,8,0,0,0,0,0
"L2 H-on","Warnmeldungen.Warnungenzuhaeufig.",20,15,3,1,1,0,0,0
"L2 H-on","Warnmeldungen.SichermitWarnsystem.",20,5,0,0,1,1,2,11
"L2 H-on","Warnmeldungen.FahrfremdeohneWarnun.",20,9,2,1,2,2,2,2
"L2 H-on","Warnmeldungen.Laestig.",20,17,2,0,1,0,0,0
"L2 H-on","ReaktionaufWarnung.WarumertoentWarnung.",20,7,1,0,0,0,3,9
"L2 H-on","ReaktionaufWarnung.RichtigeReaktion.",20,6,2,2,0,0,2,8
"L2 H-on","ReaktionaufWarnung.BewusstIgnoriert.",20,20,0,0,0,0,0,0
"L2 H-on","ReaktionaufWarnung.AufmerksamkeitaufFah.",20,9,0,0,1,1,0,9
"L2 H-on","L2PrivNutzung",20,2,3,0,9,6,0,0
"L2 H-on","L2Komponenten.Laengs.",20,0,0,1,3,16,0,0
"L2 H-on","L2Komponenten.Quer.",20,1,0,2,5,12,0,0
"L2 H-on","L2Komponenten.Hoff.",0,0,0,0,0,0,0,0
"L2 H-on","System_u_01",20,0,20,0,0,0,0,0
"L2 H-on","System_u_02",20,1,19,0,0,0,0,0
"L2 H-on","System_u_03",20,1,18,1,0,0,0,0
"L2 H-on","System_u_04",20,1,19,0,0,0,0,0
"L2 H-on","System_u_05",20,4,15,1,0,0,0,0
"L2 H-on","System_u_06",20,2,18,0,0,0,0,0
"L2 H-on","System_u_07",20,1,19,0,0,0,0,0
"L2 H-on","System_u_08",20,3,15,2,0,0,0,0
"L2 H-on","System_u_09",20,0,16,4,0,0,0,0
"L2 H-on","System_u_10",20,1,16,3,0,0,0,0
"L2 H-on","System_u_11",20,1,16,3,0,0,0,0
"L2 H-on","System_u_12",20,4,15,1,0,0,0,0
"L2 H-on","System_u_13",20,0,19,1,0,0,0,0
