"name","lev_Df_group","lev_Df","lev_F","lev_p","tT_eqvar_t","tT_eqvar_Df","tT_eqvar_p","tT_eqvar_conf1","tT_eqvar_conf2","tT_eqvar_meanHoff","tT_eqvar_meanHon","tT_eqvar_stderr","tT_eqvar_method","tT_uneqvar_t","tT_uneqvar_Df","tT_uneqvar_p","tT_uneqvar_conf1","tT_uneqvar_conf2","tT_uneqvar_meanHoff","tT_uneqvar_meanHon","tT_uneqvar_stderr","tT_uneqvar_method","tT_cD","wilc_W","wilc_p","wilc_method","wilc_r","wilc_cD"
"Warnmeldungen.Warnungenzuhaeufig.",1,38,10.61379310344828,0.0023673471665968506,"5.05008472252674","38","1.13525396812193e-05","1.19827318742522","2.80172681257478","2.4","0.4","0.396032959819202"," Two Sample t-test","5.05008472252674","28.6698158091484","2.27355473938847e-05","1.18961626395225","2.81038373604775","2.4","0.4","0.396032959819202","Welch Two Sample t-test",1.5969770100003942,"343.5","4.50446337985514e-05","Wilcoxon rank sum test with continuity correction",0.6450973530137696,1.688514655753088
"Warnmeldungen.SichermitWarnsystem.",1,38,3.4393463230672543,0.07143320852925128,"1.85454747123584","38","0.0714332085292514","-0.10990068163396","2.50990068163396","5.35","4.15","0.647058119898295"," Two Sample t-test","1.85454747123584","28.1675051048631","0.0741578103600801","-0.125083465450561","2.52508346545056","5.35","4.15","0.647058119898295","Welch Two Sample t-test",0.5864594038010857,"244","0.174856983404174","Wilcoxon rank sum test with continuity correction",0.21452283943803918,0.4392723914754782
"Warnmeldungen.FahrfremdeohneWarnun.",1,38,0.8710601719197716,0.35655470142749723,"3.62247182987989","38","0.000850136092271356","1.05877604531991","3.74122395468009","4.4","2","0.662531032043823"," Two Sample t-test","3.62247182987989","36.8700800142843","0.000873339490291009","1.0574249277629","3.7425750722371","4.4","2","0.662531032043823","Welch Two Sample t-test",1.1455261742218459,"315.5","0.00145080128652842","Wilcoxon rank sum test with continuity correction",0.5034897385634495,1.1654838797435287
"Warnmeldungen.Laestig.",1,38,12.725417439703163,9.95471866247978e-4,"5.12793558704625","38","8.89688823801568e-06","1.18018365722059","2.71981634277941","2.2","0.25","0.380269987190542"," Two Sample t-test","5.12793558704625","26.8324589209357","2.19731045279068e-05","1.16952241344353","2.73047758655647","2.2","0.25","0.380269987190542","Welch Two Sample t-test",1.6215956149698778,"351","1.22596871166057e-05","Wilcoxon rank sum test with continuity correction",0.6914190197345899,1.9140846287620652
"ReaktionaufWarnung.WarumertoentWarnung.",1,38,10.348936170212744,0.002648019569829272,"2.34569018487926","38","0.0243122771174156","0.219156663084272","2.98084333691573","5.1","3.5","0.68210201428726"," Two Sample t-test","2.34569018487926","24.240846620278","0.0274989886089062","0.192950451574339","3.00704954842566","5.1","3.5","0.68210201428726","Welch Two Sample t-test",0.7417723669319929,"236.5","0.302412711474319","Wilcoxon rank sum test with continuity correction",0.16305861375668723,0.33054106227999996
"ReaktionaufWarnung.RichtigeReaktion.",1,38,25.107874865156433,1.2836925525676496e-5,"2.83525392376754","38","0.00729746805949094","0.557684275987973","3.34231572401203","5.15","3.2","0.687769086096107"," Two Sample t-test","2.83525392376754","28.1058136810526","0.00839153050663375","0.541407807909746","3.35859219209025","5.15","3.2","0.687769086096107","Welch Two Sample t-test",0.8965860144034828,"268","0.0517591826551231","Wilcoxon rank sum test with continuity correction",0.3075522561950114,0.6464365198314965
"ReaktionaufWarnung.BewusstIgnoriert.",1,38,8.14285714285714,0.006960760200866182,"2.85356919363403","38","0.00696076020086616","0.261517235472917","1.53848276452708","0.9","0","0.315394489822708"," Two Sample t-test","2.85356919363403","19","0.0101625721206906","0.239871746173235","1.56012825382676","0.9","0","0.315394489822708","Welch Two Sample t-test",0.9023778112773575,"290","0.000910171532592936","Wilcoxon rank sum test with continuity correction",0.5244503826951973,1.2319124298736766
"ReaktionaufWarnung.AufmerksamkeitaufFah.",1,38,72.75398633257402,2.333443710942902e-10,"3.14005564931175","38","0.00326350189426553","0.763894803627216","3.53610519637279","5.2","3.05","0.684701241034135"," Two Sample t-test","3.14005564931175","22.5140690290015","0.0046689639718701","0.731894037147621","3.56810596285238","5.2","3.05","0.684701241034135","Welch Two Sample t-test",0.9929727831504059,"257.5","0.102482632076537","Wilcoxon rank sum test with continuity correction",0.25818972058968914,0.5345021460886527
"L2PrivNutzung",1,37,2.0516890516890522,0.16043237184820547,"2.14254146607981","37","0.0387961397245391","0.0391561872474709","1.40294907591042","3.42105263157895","2.7","0.336540805858125"," Two Sample t-test","2.18010293850696","26.7580101162756","0.0382238926753487","0.0421378533186596","1.39996740983923","3.42105263157895","2.7","0.330742470386631","Welch Two Sample t-test",0.6863880930390249,"243.5","0.105177022120367","Wilcoxon rank sum test with continuity correction",0.2561851695971008,0.5300596350636055
"L2Komponenten.Laengs.",1,37,0.27822648025399666,0.601014941851332,"-0.527471781476503","37","0.601014941851332","-0.573315234144807","0.33647312888165","3.63157894736842","3.75","0.224506896463909"," Two Sample t-test","-0.522076739318875","31.0217950130617","0.605325151292478","-0.581024408904266","0.344182303641109","3.63157894736842","3.75","0.226826908216742","Welch Two Sample t-test",0.16898172378525556,"185.5","0.873190190143237","Wilcoxon rank sum test with continuity correction",0.02523617772679572,0.05048843516435452
"L2Komponenten.Quer.",1,37,0.0037103663091371977,0.951756518109276,"0.0609127762389554","37","0.951756518109277","-0.594333779897252","0.631175885160409","3.36842105263158","3.35","0.302416894598836"," Two Sample t-test","0.0612682502325933","35.9666602923477","0.951484778890071","-0.591369967983725","0.628212073246882","3.36842105263158","3.35","0.300662293465973","Welch Two Sample t-test",0.019514116756334503,"181.5","0.800519634684213","Wilcoxon rank sum test with continuity correction",0.039951370874940655,0.07996658504970891
"TiA_overall",1,38,2.244799772550899,0.14232615129381984,"2.92742997184366","38","0.00574478003158055","0.143958363021373","0.789400032968602","3.8860066833751","3.41932748538012","0.159416007379701"," Two Sample t-test","2.92742997184366","35.0120955001641","0.00597049245018183","0.143051494140345","0.79030690184963","3.8860066833751","3.41932748538012","0.159416007379701","Welch Two Sample t-test",0.9257346401668555,"296.5","0.0093528011804602","Wilcoxon rank sum test with continuity correction",0.4109192697432904,0.9014632210971264
