"variable","group","n","mean","sd","median","min","max","frequencies"
"Geschlecht","L0",NA,NA,NA,NA,NA,NA,"0: 13, 1: 7"
"Geschlecht","L2 H-off",NA,NA,NA,NA,NA,NA,"0: 13, 1: 7"
"Geschlecht","L2 H-on",NA,NA,NA,NA,NA,NA,"0: 13, 1: 7"
"Haendigkeit","L0",NA,NA,NA,NA,NA,NA,"0: 19, 1: 1, 2: 0"
"Haendigkeit","L2 H-off",NA,NA,NA,NA,NA,NA,"0: 19, 1: 1, 2: 0"
"Haendigkeit","L2 H-on",NA,NA,NA,NA,NA,NA,"0: 15, 1: 4, 2: 1"
"Sehschwaeche","L0",NA,NA,NA,NA,NA,NA,"1: 12, 0: 6, 2: 2"
"Sehschwaeche","L2 H-off",NA,NA,NA,NA,NA,NA,"1: 12, 0: 8, 2: 0"
"Sehschwaeche","L2 H-on",NA,NA,NA,NA,NA,NA,"0: 10, 1: 10, 2: 0"
"Farbfehlsichtigkeit","L0",NA,NA,NA,NA,NA,NA,"0: 20, 1: 0"
"Farbfehlsichtigkeit","L2 H-off",NA,NA,NA,NA,NA,NA,"0: 19, 1: 1"
"Farbfehlsichtigkeit","L2 H-on",NA,NA,NA,NA,NA,NA,"0: 20, 1: 0"
"Hoerschwaeche","L0",NA,NA,NA,NA,NA,NA,"0: 20"
"Hoerschwaeche","L2 H-off",NA,NA,NA,NA,NA,NA,"0: 20"
"Hoerschwaeche","L2 H-on",NA,NA,NA,NA,NA,NA,"0: 20"
"Fahrtfrequenz","L0",20,2.3,1.17,2,0,4,"2: 7, 3: 6, 4: 3, 0: 2"
"Fahrtfrequenz","L2 H-off",20,2.45,0.89,3,0,4,"3: 10, 2: 7, 0: 1, 1: 1"
"Fahrtfrequenz","L2 H-on",20,2.45,1.05,2.5,0,4,"2: 7, 3: 7, 4: 3, 1: 2"
"Fahrtstrecke","L0",20,1.6,0.88,2,0,3,"2: 8, 1: 7, 3: 3, 0: 2"
"Fahrtstrecke","L2 H-off",20,1.5,0.61,2,0,2,"2: 11, 1: 8, 0: 1, 3: 0"
"Fahrtstrecke","L2 H-on",20,1.55,0.76,1.5,0,3,"1: 9, 2: 8, 3: 2, 0: 1"
"FrequenzAutobahn","L0",20,1.8,1.15,2,0,4,"2: 6, 1: 5, 3: 5, 0: 3"
"FrequenzAutobahn","L2 H-off",20,1.95,0.76,2,0,3,"2: 12, 3: 4, 1: 3, 0: 1"
"FrequenzAutobahn","L2 H-on",20,1.95,1.05,2,0,4,"2: 8, 3: 5, 1: 4, 0: 2"
"StreckeAutobahn","L0",20,1.25,0.72,1,0,2,"1: 9, 2: 8, 0: 3, 3: 0"
