"group","ADAS","KeinSystem","VW","Opel","Mercedes","Ford","BMW","Audi","Skoda","Renault","Toyota","Seat","Hyundai","Fiat","Nissan","Peugeot","Mazda","Kia","Dacia","Citroen","Volvo","Mitsubishi","Tesla","Mini","Porsche","Honda"
"L0","CC",3,7,2,5,0,5,4,1,0,1,1,3,2,0,0,1,0,0,1,1,0,0,1,0,1
"L0","ACC",12,1,0,2,1,2,2,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0
"L0","LKA",11,2,0,1,0,3,3,0,0,0,0,2,0,0,0,1,0,0,2,0,0,0,0,0,0
"L0","TJA",15,1,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"L0","PA",14,1,0,3,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"L0","L2",14,0,0,0,1,2,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,1,0,0
"L2 H-on","CC",3,6,3,6,2,8,6,1,3,1,2,1,1,1,3,1,1,0,2,3,1,1,1,1,0
"L2 H-on","ACC",6,4,1,3,1,8,6,1,1,1,1,1,1,1,1,1,1,0,1,2,1,2,1,1,0
"L2 H-on","LKA",6,3,2,3,2,7,6,1,1,1,1,1,1,1,1,1,1,0,1,2,1,2,1,1,0
"L2 H-on","TJA",13,2,1,1,1,5,3,1,1,1,1,1,1,1,1,1,1,0,1,2,1,2,0,1,0
"L2 H-on","PA",13,3,1,2,1,5,3,1,1,1,1,1,1,1,1,1,1,0,1,2,1,2,0,0,0
"L2 H-on","L2",13,3,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,0,1,2,1,2,0,1,0
"L2 H-off","CC",5,6,3,6,1,8,2,0,1,0,1,1,1,0,0,0,0,0,0,3,0,1,1,0,0
"L2 H-off","ACC",7,2,1,3,1,5,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"L2 H-off","LKA",8,1,1,2,1,5,2,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0
"L2 H-off","TJA",12,0,1,2,0,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"L2 H-off","PA",8,2,2,5,1,5,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"L2 H-off","L2",11,1,1,2,0,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
